Name,sample_size,power
"Mean of darkest 5 hours (L5, lux)",10,0.483
"Mean of darkest 5 hours (L5, lux)",11,0.502
"Mean of darkest 5 hours (L5, lux)",12,0.555
"Mean of darkest 5 hours (L5, lux)",13,0.583
"Mean of darkest 5 hours (L5, lux)",14,0.6
"Mean of darkest 5 hours (L5, lux)",15,0.642
"Mean of darkest 5 hours (L5, lux)",16,0.652
"Mean of darkest 5 hours (L5, lux)",17,0.668
"Mean of darkest 5 hours (L5, lux)",18,0.707
"Mean of darkest 5 hours (L5, lux)",19,0.705
"Mean of darkest 5 hours (L5, lux)",20,0.742
"Mean of darkest 5 hours (L5, lux)",21,0.739
"Mean of darkest 5 hours (L5, lux)",22,0.761
"Mean of darkest 5 hours (L5, lux)",23,0.774
"Mean of darkest 5 hours (L5, lux)",24,0.812
"Mean of darkest 5 hours (L5, lux)",25,0.801
"Mean of darkest 5 hours (L5, lux)",26,0.797
"Mean of darkest 5 hours (L5, lux)",27,0.876
"Mean of darkest 5 hours (L5, lux)",28,0.88
"Mean of darkest 5 hours (L5, lux)",29,0.846
"Mean of darkest 5 hours (L5, lux)",30,0.886
"Mean of darkest 5 hours (L5, lux)",31,0.875
"Mean of darkest 5 hours (L5, lux)",32,0.891
"Mean of darkest 5 hours (L5, lux)",33,0.909
"Mean of darkest 5 hours (L5, lux)",34,0.895
"Mean of darkest 5 hours (L5, lux)",35,0.924
"Mean of darkest 5 hours (L5, lux)",36,0.913
"Mean of darkest 5 hours (L5, lux)",37,0.936
"Mean of darkest 5 hours (L5, lux)",38,0.938
"Mean of darkest 5 hours (L5, lux)",39,0.934
"Mean of darkest 5 hours (L5, lux)",40,0.954
"Mean of darkest 5 hours (L5, lux)",41,0.945
"Mean of darkest 5 hours (L5, lux)",42,0.95
"Mean of darkest 5 hours (L5, lux)",43,0.952
"Mean of darkest 5 hours (L5, lux)",44,0.947
"Mean of darkest 5 hours (L5, lux)",45,0.97
"Mean of darkest 5 hours (L5, lux)",46,0.967
"Mean of darkest 5 hours (L5, lux)",47,0.959
"Mean of darkest 5 hours (L5, lux)",48,0.971
"Mean of darkest 5 hours (L5, lux)",49,0.967
"Mean of darkest 5 hours (L5, lux)",50,0.979
Mean timing of light above 250 lx (hh:mm),3,0.313
Mean timing of light above 250 lx (hh:mm),4,0.346
Mean timing of light above 250 lx (hh:mm),5,0.367
Mean timing of light above 250 lx (hh:mm),6,0.378
Mean timing of light above 250 lx (hh:mm),7,0.376
Mean timing of light above 250 lx (hh:mm),8,0.38
Mean timing of light above 250 lx (hh:mm),9,0.398
Mean timing of light above 250 lx (hh:mm),10,0.422
Mean timing of light above 250 lx (hh:mm),11,0.454
Mean timing of light above 250 lx (hh:mm),12,0.481
Mean timing of light above 250 lx (hh:mm),13,0.487
Mean timing of light above 250 lx (hh:mm),14,0.518
Mean timing of light above 250 lx (hh:mm),15,0.514
Mean timing of light above 250 lx (hh:mm),16,0.526
Mean timing of light above 250 lx (hh:mm),17,0.529
Mean timing of light above 250 lx (hh:mm),18,0.559
Mean timing of light above 250 lx (hh:mm),19,0.57
Mean timing of light above 250 lx (hh:mm),20,0.551
Mean timing of light above 250 lx (hh:mm),21,0.548
Mean timing of light above 250 lx (hh:mm),22,0.608
Mean timing of light above 250 lx (hh:mm),23,0.603
Mean timing of light above 250 lx (hh:mm),24,0.617
Mean timing of light above 250 lx (hh:mm),25,0.647
Mean timing of light above 250 lx (hh:mm),26,0.625
Mean timing of light above 250 lx (hh:mm),27,0.635
Mean timing of light above 250 lx (hh:mm),28,0.627
Mean timing of light above 250 lx (hh:mm),29,0.682
Mean timing of light above 250 lx (hh:mm),30,0.654
Mean timing of light above 250 lx (hh:mm),31,0.667
Mean timing of light above 250 lx (hh:mm),32,0.701
Mean timing of light above 250 lx (hh:mm),33,0.726
Mean timing of light above 250 lx (hh:mm),34,0.707
Mean timing of light above 250 lx (hh:mm),35,0.726
Mean timing of light above 250 lx (hh:mm),36,0.708
Mean timing of light above 250 lx (hh:mm),37,0.719
Mean timing of light above 250 lx (hh:mm),38,0.755
Mean timing of light above 250 lx (hh:mm),39,0.754
Mean timing of light above 250 lx (hh:mm),40,0.742
Mean timing of light above 250 lx (hh:mm),41,0.78
Mean timing of light above 250 lx (hh:mm),42,0.766
Mean timing of light above 250 lx (hh:mm),43,0.792
Mean timing of light above 250 lx (hh:mm),44,0.788
Mean timing of light above 250 lx (hh:mm),45,0.8
Mean timing of light above 250 lx (hh:mm),46,0.795
Mean timing of light above 250 lx (hh:mm),47,0.81
Mean timing of light above 250 lx (hh:mm),48,0.824
Mean timing of light above 250 lx (hh:mm),49,0.798
Mean timing of light above 250 lx (hh:mm),50,0.815
Mean timing of light below 10 lx (hh:mm),3,0.713
Mean timing of light below 10 lx (hh:mm),4,0.755
Mean timing of light below 10 lx (hh:mm),5,0.809
Mean timing of light below 10 lx (hh:mm),6,0.842
Mean timing of light below 10 lx (hh:mm),7,0.875
Mean timing of light below 10 lx (hh:mm),8,0.914
Mean timing of light below 10 lx (hh:mm),9,0.924
Mean timing of light below 10 lx (hh:mm),10,0.941
Mean timing of light below 10 lx (hh:mm),11,0.957
Mean timing of light below 10 lx (hh:mm),12,0.975
Mean timing of light below 10 lx (hh:mm),13,0.967
Mean timing of light below 10 lx (hh:mm),14,0.98
Mean timing of light below 10 lx (hh:mm),15,0.981
Mean timing of light below 10 lx (hh:mm),16,0.993
Mean timing of light below 10 lx (hh:mm),17,0.985
Mean timing of light below 10 lx (hh:mm),18,0.994
Mean timing of light below 10 lx (hh:mm),19,0.994
Mean timing of light below 10 lx (hh:mm),20,0.997
Mean timing of light below 10 lx (hh:mm),21,1
Mean timing of light below 10 lx (hh:mm),22,0.995
Mean timing of light below 10 lx (hh:mm),23,0.997
Mean timing of light below 10 lx (hh:mm),24,0.998
Mean timing of light below 10 lx (hh:mm),25,0.997
Mean timing of light below 10 lx (hh:mm),26,0.998
Mean timing of light below 10 lx (hh:mm),27,1
Mean timing of light below 10 lx (hh:mm),28,1
Mean timing of light below 10 lx (hh:mm),29,1
Mean timing of light below 10 lx (hh:mm),30,1
Mean timing of light below 10 lx (hh:mm),31,1
Mean timing of light below 10 lx (hh:mm),32,0.999
Mean timing of light below 10 lx (hh:mm),33,1
Mean timing of light below 10 lx (hh:mm),34,1
Mean timing of light below 10 lx (hh:mm),35,1
Mean timing of light below 10 lx (hh:mm),36,1
Mean timing of light below 10 lx (hh:mm),37,1
Mean timing of light below 10 lx (hh:mm),38,1
Mean timing of light below 10 lx (hh:mm),39,1
